open,high,low,volume,log(volume)
2293.17,2293.23,2292.08,6.54754231,1.8790897593872513
2292.42,2293.59,2290.38,3.11034561,1.1347338486341787
2289.77,2289.77,2288.61,7.15090229,1.9672385431496666
2288.41,2288.41,2285.25,4.14128025,1.421004979163093
2283.48,2283.48,2283.48,0.08295182,-2.4894953216581124
2281.56,2281.59,2281.56,0.02415988,-3.723061872815275
2283.89,2284.2,2280.1,3.473233,1.2450858604836428
2280.78,2281.95,2280.54,1.78727697,0.5806932157733766
2279.42,2279.42,2273.22,8.30817088,2.1172394739294513
2273.88,2273.88,2271.01,6.6334188,1.8921203274014442
2276.55,2276.55,2274.36,2.95153012,1.082323720627055
2272.69,2275.56,2272.3,9.17255855,2.2162162604376117
2273.44,2277.84,2273.44,7.2278561,1.9779424638433676
2277.99,2277.99,2277.99,0.24,-1.4271163556401458
2276.61,2276.61,2271.56,13.33139421,2.5901217206192406
2271.36,2272.22,2271.35,0.53121021,-0.6325974603720967
2269.5,2273.56,2266.12,12.10726845,2.4938059706027698
2271.28,2271.28,2271.28,0.35,-1.0498221244986778
2273.45,2275.14,2273.45,0.858752,-0.15227510648176892
2274.98,2274.98,2274.92,0.68321616,-0.38094398339172963
2273.71,2273.71,2273.71,0.32988163,-1.109021385838454
2272.51,2275.21,2272.51,14.76034643,2.691944289764099
2276.19,2278.26,2275.67,6.74816173,1.9092701314978788
2278.45,2278.45,2278.45,0.3292058,-1.1110721918654098
2279.66,2281.69,2276.34,6.20065446,1.8246548445447015
2279.07,2279.07,2279.07,0.24,-1.4271163556401458
2280.94,2282.89,2280.94,7.30425342,1.9884568387477282
2282.31,2282.31,2280.84,2.65359588,0.9759156560417223
2280.94,2281.45,2280.67,0.89960513,-0.10579935637877609
2280.09,2280.09,2280.09,0.24,-1.4271163556401458
2278.41,2278.41,2278.41,0.09466631,-2.3573970971017717
2278.25,2278.49,2278.25,0.55124,-0.5955849929751931
2278.79,2278.79,2275.88,0.53580007,-0.623994191225874
2276.04,2276.04,2275.57,0.53910703,-0.617841156357265
2272.35,2275.48,2272.35,0.98783079,-0.012243861084011548
2276.36,2276.37,2276.36,0.32947481,-1.1102553771273636
2278.0,2278.12,2277.01,21.82386877,3.0830042685381343
2277.21,2277.55,2274.58,29.15073385,3.372480087436736
2276.87,2280.22,2276.87,20.66592148,3.028486038307543
2277.94,2277.94,2274.65,24.94172116,3.2165419498995393
2275.94,2275.94,2275.62,1.27712261,0.24460958653688036
2278.17,2279.16,2278.17,0.67638653,-0.39099057640792506
2281.73,2281.73,2281.22,0.61244287,-0.49029961438288333
2281.29,2281.29,2281.08,0.56675801,-0.567822856478668
2282.84,2282.84,2282.84,0.07006082,-2.6583915570277936
2283.23,2285.49,2283.23,9.8200774,2.28442900420904
2284.86,2285.38,2284.38,11.23393557,2.4189391588258577
2284.69,2284.69,2284.69,0.24,-1.4271163556401458
2283.47,2284.02,2282.91,2.73138719,1.0048096083485754
2285.11,2285.11,2284.71,0.05179295,-2.960501239365298
2283.47,2285.53,2282.9,1.99207623,0.6891774265024916
2286.9,2286.9,2286.9,0.00128944,-6.653547263388073
2287.43,2287.43,2287.43,0.53,-0.6348782724359695
2284.36,2284.36,2284.36,0.3428,-1.0706080922585124
2282.44,2284.52,2282.38,1.54407312,0.43442380799420616
2284.48,2284.48,2284.41,0.67917651,-0.38687422938872135
2285.74,2286.43,2285.73,5.65387712,1.7323415257490582
2284.71,2284.71,2284.13,1.07470412,0.07204538648561146
2286.45,2286.45,2284.61,4.03931571,1.3960752989139933
2284.34,2284.34,2284.34,4.42702353,1.4877274688476927
2286.51,2287.06,2286.51,2.80256866,1.0305363752180383
2283.14,2283.55,2282.36,3.63018021,1.2892822916726048
2281.76,2281.76,2280.5,4.01861083,1.3909362782330812
